2018 Rank,City,State,2018 estimate,2010 Census,Change,2016 land area (sq mile),2016 land area(sq km),2016 population density (per sq mile),2016 population density (per sq km),location
1,New York City,New York,8398748,8175133,+2.74%,301.5,780.9,"28,317","10,933",40°39′49″N 73°56′19″W﻿ / ﻿40.6635°N 73.9387°W﻿ / 40.6635; -73.9387﻿ (1 New York City)
2,Los Angeles,California,3990456,3792621,+5.22%,468.7,"1,213.9","8,484","3,276",34°01′10″N 118°24′39″W﻿ / ﻿34.0194°N 118.4108°W﻿ / 34.0194; -118.4108﻿ (2 Los Angeles)
3,Chicago,Illinois,2705994,2695598,+0.39%,227.3,588.7,"11,900","4,600",41°50′15″N 87°40′54″W﻿ / ﻿41.8376°N 87.6818°W﻿ / 41.8376; -87.6818﻿ (3 Chicago)
4,Houston,Texas,2325502,2100263,+10.72%,637.5,"1,651.1","3,613","1,395",29°47′12″N 95°23′27″W﻿ / ﻿29.7866°N 95.3909°W﻿ / 29.7866; -95.3909﻿ (4 Houston)
5,Phoenix,Arizona,1660272,1445632,+14.85%,517.6,"1,340.6","3,120","1,200",33°34′20″N 112°05′24″W﻿ / ﻿33.5722°N 112.0901°W﻿ / 33.5722; -112.0901﻿ (6 Phoenix)
6,Philadelphia,Pennsylvania,1584138,1526006,+3.81%,134.2,347.6,"11,683","4,511",40°00′34″N 75°08′00″W﻿ / ﻿40.0094°N 75.1333°W﻿ / 40.0094; -75.1333﻿ (5 Philadelphia)
7,San Antonio,Texas,1532233,1327407,+15.43%,461.0,"1,194.0","3,238","1,250",29°28′21″N 98°31′30″W﻿ / ﻿29.4724°N 98.5251°W﻿ / 29.4724; -98.5251﻿ (7 San Antonio)
8,San Diego,California,1425976,1307402,+9.07%,325.2,842.3,"4,325","1,670",32°48′55″N 117°08′06″W﻿ / ﻿32.8153°N 117.1350°W﻿ / 32.8153; -117.1350﻿ (8 San Diego)
9,Dallas,Texas,1345047,1197816,+12.29%,340.9,882.9,"3,866","1,493",32°47′36″N 96°45′59″W﻿ / ﻿32.7933°N 96.7665°W﻿ / 32.7933; -96.7665﻿ (9 Dallas)
10,San Jose,California,1030119,945942,+8.90%,177.5,459.7,"5,777","2,231",37°17′48″N 121°49′08″W﻿ / ﻿37.2967°N 121.8189°W﻿ / 37.2967; -121.8189﻿ (10 San Jose)
11,Austin,Texas,964254,790390,+22.00%,312.7,809.9,"3,031","1,170",30°18′14″N 97°45′16″W﻿ / ﻿30.3039°N 97.7544°W﻿ / 30.3039; -97.7544﻿ (11 Austin)
12,Jacksonville,Florida,903889,821784,+9.99%,747.4,"1,935.8","1,178",455,30°20′13″N 81°39′42″W﻿ / ﻿30.3369°N 81.6616°W﻿ / 30.3369; -81.6616﻿ (12 Jacksonville)
13,Fort Worth,Texas,895008,741206,+20.75%,342.9,888.1,"2,491",962,32°46′53″N 97°20′48″W﻿ / ﻿32.7815°N 97.3467°W﻿ / 32.7815; -97.3467﻿ (16 Fort Worth)
14,Columbus,Ohio,892533,787033,+13.40%,218.5,565.9,"3,936","1,520",39°59′07″N 82°59′05″W﻿ / ﻿39.9852°N 82.9848°W﻿ / 39.9852; -82.9848﻿ (15 Columbus)
15,San Francisco,California,883305,805235,+9.70%,46.9,121.5,"18,569","7,170",37°43′38″N 123°01′56″W﻿ / ﻿37.7272°N 123.0322°W﻿ / 37.7272; -123.0322﻿ (13 San Francisco)
16,Charlotte,North Carolina,872498,731424,+19.29%,305.4,791.0,"2,757","1,064",35°12′28″N 80°49′52″W﻿ / ﻿35.2078°N 80.8310°W﻿ / 35.2078; -80.8310﻿ (17 Charlotte)
17,Indianapolis,Indiana,867125,820445,+5.69%,361.5,936.3,"2,366",914,39°46′36″N 86°08′45″W﻿ / ﻿39.7767°N 86.1459°W﻿ / 39.7767; -86.1459﻿ (14 Indianapolis)
18,Seattle,Washington,744955,608660,+22.39%,83.8,217.0,"8,405","3,245",47°37′14″N 122°21′03″W﻿ / ﻿47.6205°N 122.3509°W﻿ / 47.6205; -122.3509﻿ (20 Seattle)
19,Denver,Colorado,716492,600158,+19.38%,153.3,397.0,"4,521","1,746",39°45′43″N 104°52′52″W﻿ / ﻿39.7619°N 104.8811°W﻿ / 39.7619; -104.8811﻿ (Denver)
20,"Washington, D.C.",District of Columbia,702455,601723,+16.74%,61.1,158.2,"11,148","4,304","38°54′15″N 77°01′02″W﻿ / ﻿38.9041°N 77.0172°W﻿ / 38.9041; -77.0172﻿ (Washington, D.C.)"
21,Boston,Massachusetts,694583,617594,+12.47%,48.3,125.1,"13,938","5,381",42°19′55″N 71°01′13″W﻿ / ﻿42.3320°N 71.0202°W﻿ / 42.3320; -71.0202﻿ (Boston)
22,El Paso,Texas,682669,649121,+5.17%,256.8,665.1,"2,660","1,030",31°50′54″N 106°25′37″W﻿ / ﻿31.8484°N 106.4270°W﻿ / 31.8484; -106.4270﻿ (19 El Paso)
23,Detroit,Michigan,672662,713777,−5.76%,138.8,359.5,"4,847","1,871",42°22′59″N 83°06′08″W﻿ / ﻿42.3830°N 83.1022°W﻿ / 42.3830; -83.1022﻿ (18 Detroit)
24,Nashville,Tennessee,669053,601222,+11.28%,475.9,"1,232.6","1,388",536,36°10′18″N 86°47′06″W﻿ / ﻿36.1718°N 86.7850°W﻿ / 36.1718; -86.7850﻿ (Nashville)
25,Portland,Oregon,653115,583776,+11.88%,133.5,345.8,"4,793","1,851",45°32′13″N 122°39′00″W﻿ / ﻿45.5370°N 122.6500°W﻿ / 45.5370; -122.6500﻿ (Portland)
26,Memphis,Tennessee,650618,646889,+0.58%,317.4,822.1,"2,056",794,35°06′10″N 89°58′39″W﻿ / ﻿35.1028°N 89.9774°W﻿ / 35.1028; -89.9774﻿ (Memphis)
27,Oklahoma City,Oklahoma,649021,579999,+11.90%,606.3,"1,570.3","1,053",407,35°28′02″N 97°30′49″W﻿ / ﻿35.4671°N 97.5137°W﻿ / 35.4671; -97.5137﻿ (Oklahoma City)
28,Las Vegas,Nevada,644644,583756,+10.43%,134.4,348.1,"4,709","1,818",36°13′45″N 115°15′36″W﻿ / ﻿36.2292°N 115.2601°W﻿ / 36.2292; -115.2601﻿ (Las Vegas)
29,Louisville,Kentucky,620118,597337,+3.81%,263.5,682.5,"2,339",903,38°09′55″N 85°38′51″W﻿ / ﻿38.1654°N 85.6474°W﻿ / 38.1654; -85.6474﻿ (Louisville)
30,Baltimore,Maryland,602495,620961,−2.97%,80.9,209.5,"7,598","2,934",39°18′00″N 76°36′38″W﻿ / ﻿39.3000°N 76.6105°W﻿ / 39.3000; -76.6105﻿ (Baltimore)
31,Milwaukee,Wisconsin,592025,594833,−0.47%,96.2,249.2,"6,186","2,388",43°03′48″N 87°58′00″W﻿ / ﻿43.0633°N 87.9667°W﻿ / 43.0633; -87.9667﻿ (Milwaukee)
32,Albuquerque,New Mexico,560218,545852,+2.63%,188.2,487.4,"2,972","1,147",35°06′20″N 106°38′51″W﻿ / ﻿35.1056°N 106.6474°W﻿ / 35.1056; -106.6474﻿ (Albuquerque)
33,Tucson,Arizona,545975,520116,+4.97%,230.8,597.8,"2,299",888,32°09′11″N 110°52′14″W﻿ / ﻿32.1531°N 110.8706°W﻿ / 32.1531; -110.8706﻿ (Tucson)
34,Fresno,California,530093,494665,+7.16%,114.4,296.3,"4,563","1,762",36°47′01″N 119°47′36″W﻿ / ﻿36.7836°N 119.7934°W﻿ / 36.7836; -119.7934﻿ (Fresno)
35,Mesa,Arizona,508958,439041,+15.92%,137.9,357.2,"3,514","1,357",33°24′07″N 111°43′03″W﻿ / ﻿33.4019°N 111.7174°W﻿ / 33.4019; -111.7174﻿ (Mesa)
36,Sacramento,California,508529,466488,+9.01%,97.9,253.6,"5,059","1,953",38°34′00″N 121°28′07″W﻿ / ﻿38.5666°N 121.4686°W﻿ / 38.5666; -121.4686﻿ (Sacramento)
37,Atlanta,Georgia,498044,420003,+18.58%,133.5,345.8,"3,539","1,366",33°45′46″N 84°25′22″W﻿ / ﻿33.7629°N 84.4227°W﻿ / 33.7629; -84.4227﻿ (Atlanta)
38,Kansas City,Missouri,491918,459787,+6.99%,315.0,815.8,"1,528",590,"39°07′30″N 94°33′04″W﻿ / ﻿39.1251°N 94.5510°W﻿ / 39.1251; -94.5510﻿ (Kansas City, MO)"
39,Colorado Springs,Colorado,472688,416427,+13.51%,195.6,506.6,"2,378",918,38°52′02″N 104°45′39″W﻿ / ﻿38.8673°N 104.7607°W﻿ / 38.8673; -104.7607﻿ (Colorado Springs)
40,Miami,Florida,470914,399457,+17.89%,36.0,93.2,"12,599","4,865",25°46′31″N 80°12′31″W﻿ / ﻿25.7752°N 80.2086°W﻿ / 25.7752; -80.2086﻿ (Miami)
41,Raleigh,North Carolina,469298,403892,+16.19%,145.1,375.8,"3,163","1,221",35°49′50″N 78°38′30″W﻿ / ﻿35.8306°N 78.6418°W﻿ / 35.8306; -78.6418﻿ (Raleigh)
42,Omaha,Nebraska,468262,408958,+14.50%,133.2,345.0,"3,356","1,296",41°15′52″N 96°02′42″W﻿ / ﻿41.2644°N 96.0451°W﻿ / 41.2644; -96.0451﻿ (Omaha)
43,Long Beach,California,467354,462257,+1.10%,50.3,130.3,"9,347","3,609",33°48′33″N 118°09′19″W﻿ / ﻿33.8092°N 118.1553°W﻿ / 33.8092; -118.1553﻿ (Long Beach)
44,Virginia Beach,Virginia,450189,437994,+2.78%,244.7,633.8,"1,850",710,36°46′48″N 76°01′31″W﻿ / ﻿36.7800°N 76.0252°W﻿ / 36.7800; -76.0252﻿ (Virginia Beach)
45,Oakland,California,429082,390724,+9.82%,55.9,144.8,"7,514","2,901",37°46′11″N 122°13′33″W﻿ / ﻿37.7698°N 122.2257°W﻿ / 37.7698; -122.2257﻿ (Oakland)
46,Minneapolis,Minnesota,425403,382578,+11.19%,54.0,139.9,"7,660","2,960",44°57′48″N 93°16′06″W﻿ / ﻿44.9633°N 93.2683°W﻿ / 44.9633; -93.2683﻿ (Minneapolis)
47,Tulsa,Oklahoma,400669,391906,+2.24%,196.8,509.7,"2,048",791,36°07′40″N 95°54′08″W﻿ / ﻿36.1279°N 95.9023°W﻿ / 36.1279; -95.9023﻿ (Tulsa)
48,Arlington,Texas,398112,365438,+8.94%,95.8,248.1,"4,100","1,600",32°42′03″N 97°07′29″W﻿ / ﻿32.7007°N 97.1247°W﻿ / 32.7007; -97.1247﻿ (Arlington)
49,Tampa,Florida,392890,335709,+17.03%,113.4,293.7,"3,326","1,284",27°58′12″N 82°28′47″W﻿ / ﻿27.9701°N 82.4797°W﻿ / 27.9701; -82.4797﻿ (Tampa)
50,New Orleans,Louisiana,391006,343829,+13.72%,169.4,438.7,"2,311",892,30°03′12″N 89°56′04″W﻿ / ﻿30.0534°N 89.9345°W﻿ / 30.0534; -89.9345﻿ (New Orleans)
51,Wichita,Kansas,389255,382368,+1.80%,160.4,415.4,"2,431",939,37°41′27″N 97°20′45″W﻿ / ﻿37.6907°N 97.3459°W﻿ / 37.6907; -97.3459﻿ (Wichita)
52,Cleveland,Ohio,383793,396815,−3.28%,77.7,201.2,"4,965","1,917",41°28′43″N 81°40′46″W﻿ / ﻿41.4785°N 81.6794°W﻿ / 41.4785; -81.6794﻿ (Cleveland)
53,Bakersfield,California,383579,347483,+10.39%,148.8,385.4,"2,529",976,35°19′16″N 119°01′06″W﻿ / ﻿35.3212°N 119.0183°W﻿ / 35.3212; -119.0183﻿ (Bakersfield)
54,Aurora,Colorado,374114,325078,+15.08%,153.5,397.6,"2,356",910,39°41′17″N 104°41′23″W﻿ / ﻿39.6880°N 104.6897°W﻿ / 39.6880; -104.6897﻿ (Aurora)
55,Anaheim,California,352005,336265,+4.68%,50.0,129.5,"7,021","2,711",33°51′20″N 117°45′36″W﻿ / ﻿33.8555°N 117.7601°W﻿ / 33.8555; -117.7601﻿ (Anaheim)
56,Honolulu,Hawaii,347397,337256,+3.01%,60.5,156.7,"5,815","2,245",21°19′27″N 157°50′51″W﻿ / ﻿21.3243°N 157.8476°W﻿ / 21.3243; -157.8476﻿ (Honolulu)
57,Santa Ana,California,332725,324528,+2.53%,27.1,70.2,"12,333","4,762",33°44′11″N 117°52′59″W﻿ / ﻿33.7363°N 117.8830°W﻿ / 33.7363; -117.8830﻿ (Santa Ana)
58,Riverside,California,330063,303871,+8.62%,81.2,210.3,"3,999","1,544",33°56′17″N 117°23′36″W﻿ / ﻿33.9381°N 117.3932°W﻿ / 33.9381; -117.3932﻿ (Riverside)
59,Corpus Christi,Texas,326554,305215,+6.99%,174.6,452.2,"1,866",720,27°45′15″N 97°10′24″W﻿ / ﻿27.7543°N 97.1734°W﻿ / 27.7543; -97.1734﻿ (Corpus Christi)
60,Lexington,Kentucky,323780,295803,+9.46%,283.6,734.5,"1,123",434,38°02′27″N 84°27′30″W﻿ / ﻿38.0407°N 84.4583°W﻿ / 38.0407; -84.4583﻿ (Lexington)
61,Stockton,California,311178,291707,+6.67%,61.7,159.8,"4,977","1,922",37°58′35″N 121°18′48″W﻿ / ﻿37.9763°N 121.3133°W﻿ / 37.9763; -121.3133﻿ (Stockton)
62,Henderson,Nevada,310390,257729,+20.43%,104.7,271.2,"2,798","1,080",36°00′35″N 115°02′09″W﻿ / ﻿36.0097°N 115.0357°W﻿ / 36.0097; -115.0357﻿ (Henderson)
63,Saint Paul,Minnesota,307695,285068,+7.94%,52.0,134.7,"5,815","2,245",44°56′56″N 93°06′15″W﻿ / ﻿44.9489°N 93.1041°W﻿ / 44.9489; -93.1041﻿ (Saint Paul)
64,St. Louis,Missouri,302838,319294,−5.15%,62.0,160.6,"5,023","1,939",38°38′09″N 90°14′41″W﻿ / ﻿38.6357°N 90.2446°W﻿ / 38.6357; -90.2446﻿ (St. Louis)
65,Cincinnati,Ohio,302605,296943,+1.91%,77.4,200.5,"3,860","1,490",39°08′25″N 84°30′21″W﻿ / ﻿39.1402°N 84.5058°W﻿ / 39.1402; -84.5058﻿ (Cincinnati)
66,Pittsburgh,Pennsylvania,301048,305704,−1.52%,55.4,143.5,"5,481","2,116",40°26′23″N 79°58′36″W﻿ / ﻿40.4398°N 79.9766°W﻿ / 40.4398; -79.9766﻿ (Pittsburgh)
67,Greensboro,North Carolina,294722,269666,+9.29%,128.3,332.3,"2,237",864,36°05′42″N 79°49′37″W﻿ / ﻿36.0951°N 79.8270°W﻿ / 36.0951; -79.8270﻿ (Greensboro)
68,Anchorage,Alaska,291538,291826,−0.10%,"1,706.6","4,420.1",175,68,61°10′27″N 149°17′03″W﻿ / ﻿61.1743°N 149.2843°W﻿ / 61.1743; -149.2843﻿ (Anchorage)
69,Plano,Texas,288061,259841,+10.86%,71.7,185.7,"3,990","1,540",33°03′03″N 96°44′52″W﻿ / ﻿33.0508°N 96.7479°W﻿ / 33.0508; -96.7479﻿ (Plano)
70,Lincoln,Nebraska,287401,258379,+11.23%,92.1,238.5,"3,044","1,175",40°48′38″N 96°40′49″W﻿ / ﻿40.8105°N 96.6803°W﻿ / 40.8105; -96.6803﻿ (Lincoln)
71,Orlando,Florida,285713,238300,+19.90%,105.2,272.5,"2,635","1,017",28°25′00″N 81°16′25″W﻿ / ﻿28.4166°N 81.2736°W﻿ / 28.4166; -81.2736﻿ (Orlando)
72,Irvine,California,282572,212375,+33.05%,65.6,169.9,"4,057","1,566",33°40′42″N 117°46′17″W﻿ / ﻿33.6784°N 117.7713°W﻿ / 33.6784; -117.7713﻿ (Irvine)
73,Newark,New Jersey,282090,277140,+1.79%,24.1,62.4,"11,691","4,514",40°43′27″N 74°10′21″W﻿ / ﻿40.7242°N 74.1726°W﻿ / 40.7242; -74.1726﻿ (Newark)
74,Toledo,Ohio,274975,287208,−4.26%,80.7,209.0,"3,451","1,332",41°39′51″N 83°34′55″W﻿ / ﻿41.6641°N 83.5819°W﻿ / 41.6641; -83.5819﻿ (Toledo)
75,Durham,North Carolina,274291,228330,+20.13%,109.8,284.4,"2,395",925,35°58′52″N 78°54′10″W﻿ / ﻿35.9811°N 78.9029°W﻿ / 35.9811; -78.9029﻿ (Durham)
76,Chula Vista,California,271651,243916,+11.37%,49.6,128.5,"5,387","2,080",32°37′40″N 117°00′55″W﻿ / ﻿32.6277°N 117.0152°W﻿ / 32.6277; -117.0152﻿ (Chula Vista)
77,Fort Wayne,Indiana,267633,253691,+5.50%,110.6,286.5,"2,391",923,41°05′18″N 85°08′38″W﻿ / ﻿41.0882°N 85.1439°W﻿ / 41.0882; -85.1439﻿ (Fort Wayne)
78,Jersey City,New Jersey,265549,247597,+7.25%,14.8,38.3,"17,848","6,891",40°42′41″N 74°03′53″W﻿ / ﻿40.7114°N 74.0648°W﻿ / 40.7114; -74.0648﻿ (Jersey City)
79,St. Petersburg,Florida,265098,244769,+8.31%,61.8,160.1,"4,223","1,631",27°45′43″N 82°38′39″W﻿ / ﻿27.7620°N 82.6441°W﻿ / 27.7620; -82.6441﻿ (St. Petersburg)
80,Laredo,Texas,261639,236091,+10.82%,101.1,261.8,"2,544",982,27°33′37″N 99°29′21″W﻿ / ﻿27.5604°N 99.4892°W﻿ / 27.5604; -99.4892﻿ (Laredo)
81,Madison,Wisconsin,258054,233209,+10.65%,77.0,199.4,"3,280","1,270",43°05′16″N 89°25′48″W﻿ / ﻿43.0878°N 89.4299°W﻿ / 43.0878; -89.4299﻿ (Madison)
82,Chandler,Arizona,257165,236123,+8.91%,64.9,168.1,"3,813","1,472",33°16′58″N 111°51′18″W﻿ / ﻿33.2829°N 111.8549°W﻿ / 33.2829; -111.8549﻿ (Chandler)
83,Buffalo,New York,256304,261310,−1.92%,40.4,104.6,"6,359","2,455",42°53′33″N 78°51′35″W﻿ / ﻿42.8925°N 78.8597°W﻿ / 42.8925; -78.8597﻿ (Buffalo)
84,Lubbock,Texas,255885,229573,+11.46%,124.6,322.7,"2,027",783,33°33′56″N 101°53′12″W﻿ / ﻿33.5656°N 101.8867°W﻿ / 33.5656; -101.8867﻿ (Lubbock)
85,Scottsdale,Arizona,255310,217385,+17.45%,183.9,476.3,"1,341",518,33°41′03″N 111°51′40″W﻿ / ﻿33.6843°N 111.8611°W﻿ / 33.6843; -111.8611﻿ (Scottsdale)
86,Reno,Nevada,250998,225221,+11.45%,107.3,277.9,"2,286",883,39°32′57″N 119°51′00″W﻿ / ﻿39.5491°N 119.8499°W﻿ / 39.5491; -119.8499﻿ (Reno)
87,Glendale,Arizona,250702,226721,+10.58%,59.1,153.1,"4,161","1,607",33°31′59″N 112°11′24″W﻿ / ﻿33.5331°N 112.1899°W﻿ / 33.5331; -112.1899﻿ (Glendale)
88,Gilbert,Arizona,248279,208453,+19.11%,68.0,176.1,"3,487","1,346",33°18′37″N 111°44′35″W﻿ / ﻿33.3103°N 111.7431°W﻿ / 33.3103; -111.7431﻿ (Gilbert)
89,Winston–Salem,North Carolina,246328,229617,+7.28%,132.5,343.2,"1,828",706,36°06′10″N 80°15′40″W﻿ / ﻿36.1027°N 80.2610°W﻿ / 36.1027; -80.2610﻿ (Winston-Salem)
90,North Las Vegas,Nevada,245949,216961,+13.36%,98.0,253.8,"2,436",941,36°17′09″N 115°05′38″W﻿ / ﻿36.2857°N 115.0939°W﻿ / 36.2857; -115.0939﻿ (North Las Vegas)
91,Norfolk,Virginia,244076,242803,+0.52%,53.3,138.0,"4,599","1,776",36°55′23″N 76°14′41″W﻿ / ﻿36.9230°N 76.2446°W﻿ / 36.9230; -76.2446﻿ (Norfolk)
92,Chesapeake,Virginia,242634,222209,+9.19%,338.5,876.7,703,271,36°40′46″N 76°18′06″W﻿ / ﻿36.6794°N 76.3018°W﻿ / 36.6794; -76.3018﻿ (Chesapeake)
93,Garland,Texas,242507,226876,+6.89%,57.0,147.6,"4,122","1,592",32°54′35″N 96°37′49″W﻿ / ﻿32.9098°N 96.6303°W﻿ / 32.9098; -96.6303﻿ (Garland)
94,Irving,Texas,242242,216290,+12.00%,67.0,173.5,"3,557","1,373",32°51′28″N 96°58′12″W﻿ / ﻿32.8577°N 96.9700°W﻿ / 32.8577; -96.9700﻿ (Irving)
95,Hialeah,Florida,238942,224669,+6.35%,21.5,55.7,"10,995","4,245",25°52′12″N 80°18′10″W﻿ / ﻿25.8699°N 80.3029°W﻿ / 25.8699; -80.3029﻿ (Hialeah)
96,Fremont,California,237807,214089,+11.08%,77.5,200.7,"3,008","1,161",37°29′40″N 121°56′28″W﻿ / ﻿37.4945°N 121.9412°W﻿ / 37.4945; -121.9412﻿ (Fremont)
97,Boise,Idaho,228790,205671,+11.24%,82.1,212.6,"2,718","1,049",43°36′01″N 116°13′54″W﻿ / ﻿43.6002°N 116.2317°W﻿ / 43.6002; -116.2317﻿ (Boise)
98,Richmond,Virginia,228783,204214,+12.03%,59.8,154.9,"3,732","1,441",37°31′53″N 77°28′34″W﻿ / ﻿37.5314°N 77.4760°W﻿ / 37.5314; -77.4760﻿ (Richmond)
99,Baton Rouge,Louisiana,221599,229493,−3.44%,85.9,222.5,"2,651","1,024",30°26′32″N 91°07′51″W﻿ / ﻿30.4422°N 91.1309°W﻿ / 30.4422; -91.1309﻿ (Baton Rouge)
100,Spokane,Washington,219190,208916,+4.92%,68.7,177.9,"3,144","1,214",47°40′01″N 117°26′00″W﻿ / ﻿47.6669°N 117.4333°W﻿ / 47.6669; -117.4333﻿ (Spokane)
101,Des Moines,Iowa,216853,203433,+6.60%,88.9,230.2,"2,424",936,41°34′21″N 93°36′37″W﻿ / ﻿41.5726°N 93.6102°W﻿ / 41.5726; -93.6102﻿ (Des Moines)
102,Tacoma,Washington,216279,198397,+9.01%,49.7,128.7,"4,251","1,641",47°15′08″N 122°27′35″W﻿ / ﻿47.2522°N 122.4598°W﻿ / 47.2522; -122.4598﻿ (Tacoma)
103,San Bernardino,California,215941,209924,+2.87%,61.5,159.3,"3,516","1,358",34°08′30″N 117°17′37″W﻿ / ﻿34.1416°N 117.2936°W﻿ / 34.1416; -117.2936﻿ (San Bernardino)
